0.675781 0.415771 , 0.654785 0.228394
0.961914 0.468262 , 0.662109 0.182495
0.972168 0.512695 , 0.707031 0.182739
0.972168 0.470947 , 0.665039 0.174561
0.972168 0.512695 , 0.707031 0.182739
0.961914 0.468262 , 0.662109 0.182495
0.961914 0.515137 , 0.706543 0.19104
0.714844 0.663086 , 0.659668 0.190186
0.770508 0.663086 , 0.706055 0.199097
0.719238 0.652832 , 0.662109 0.182495
0.719238 0.652832 , 0.662109 0.182495
0.770508 0.663086 , 0.706055 0.199097
0.766602 0.652832 , 0.706543 0.19104
0.334961 0.644531 , 0.657715 0.197266
0.393799 0.634277 , 0.706055 0.199097
0.338379 0.634277 , 0.659668 0.190186
0.393799 0.634277 , 0.706055 0.199097
0.334961 0.644531 , 0.657715 0.197266
0.397217 0.644531 , 0.705078 0.206299
0.220337 0.86084 , 0.699707 0.488037
0.220093 0.838867 , 0.70752 0.501953
0.196411 0.861328 , 0.71582 0.477051
0.220093 0.838867 , 0.70752 0.501953
0.196045 0.835938 , 0.726074 0.496094
0.196411 0.861328 , 0.71582 0.477051
0.120789 0.589355 , 0.71582 0.477051
0.149414 0.588867 , 0.696777 0.461426
0.125488 0.565918 , 0.699707 0.488037
0.125488 0.565918 , 0.699707 0.488037
0.149414 0.588867 , 0.696777 0.461426
0.149902 0.56543 , 0.685059 0.476318
0.583984 0.919922 , 0.674316 0.451416
0.586914 0.942383 , 0.667969 0.46875
0.611328 0.939453 , 0.685059 0.476318
0.583984 0.919922 , 0.674316 0.451416
0.611328 0.939453 , 0.685059 0.476318
0.612793 0.916504 , 0.696777 0.461426
0.0918579 0.97168 , 0.648438 0.466553
0.100281 0.994629 , 0.667969 0.46875
0.112671 0.963379 , 0.650879 0.447998
0.100281 0.994629 , 0.667969 0.46875
0.12262 0.990723 , 0.674316 0.451416
0.112671 0.963379 , 0.650879 0.447998
0.204834 0.490723 , 0.701172 0.550781
0.232422 0.511719 , 0.697266 0.578613
0.225342 0.479248 , 0.717773 0.560059
0.232422 0.511719 , 0.697266 0.578613
0.204834 0.490723 , 0.701172 0.550781
0.210938 0.518066 , 0.683594 0.565918
0.0802612 0.571777 , 0.707031 0.538086
0.109375 0.581543 , 0.717773 0.560059
0.101257 0.560547 , 0.725586 0.542969
0.109375 0.581543 , 0.717773 0.560059
0.0802612 0.571777 , 0.707031 0.538086
0.0871582 0.589355 , 0.701172 0.550781
0.179321 0.833496 , 0.730469 0.519531
0.15564 0.861328 , 0.707031 0.538086
0.179321 0.861328 , 0.725586 0.542969
0.179321 0.833496 , 0.730469 0.519531
0.155518 0.837891 , 0.710449 0.520508
0.15564 0.861328 , 0.707031 0.538086
0.173218 0.875977 , 0.70752 0.501953
0.196899 0.901855 , 0.730469 0.519531
0.197266 0.873535 , 0.726074 0.496094
0.196899 0.901855 , 0.730469 0.519531
0.173218 0.875977 , 0.70752 0.501953
0.172974 0.899902 , 0.710449 0.520508
0.401123 0.620117 , 0.700195 0.504395
0.419922 0.628906 , 0.699707 0.488037
0.418701 0.620117 , 0.693359 0.491943
0.419922 0.628906 , 0.699707 0.488037
0.401123 0.620117 , 0.700195 0.504395
0.398438 0.628906 , 0.70752 0.501953
0.805176 0.815918 , 0.699707 0.488037
0.828125 0.807129 , 0.680664 0.481934
0.808594 0.807617 , 0.693359 0.491943
0.828125 0.807129 , 0.680664 0.481934
0.805176 0.815918 , 0.699707 0.488037
0.829102 0.81543 , 0.685059 0.476318
0.847168 0.0861816 , 0.667969 0.46875
0.868652 0.0928345 , 0.680664 0.481934
0.871582 0.0846558 , 0.685059 0.476318
0.868652 0.0928345 , 0.680664 0.481934
0.847168 0.0861816 , 0.667969 0.46875
0.849609 0.0941772 , 0.666016 0.475342
0.40332 0.800781 , 0.650391 0.473389
0.421143 0.793945 , 0.666016 0.475342
0.42041 0.785156 , 0.667969 0.46875
0.40332 0.800781 , 0.650391 0.473389
0.42041 0.785156 , 0.667969 0.46875
0.397705 0.794922 , 0.648438 0.466553
0.643555 0.312256 , 0.683594 0.565918
0.671875 0.312012 , 0.701172 0.550781
0.66748 0.304688 , 0.694824 0.547852
0.66748 0.304688 , 0.694824 0.547852
0.644531 0.303955 , 0.680176 0.55957
0.643555 0.312256 , 0.683594 0.565918
0.609375 0.0864258 , 0.700195 0.536133
0.60498 0.10144 , 0.694824 0.547852
0.612793 0.10498 , 0.701172 0.550781
0.609375 0.0864258 , 0.700195 0.536133
0.612793 0.10498 , 0.701172 0.550781
0.618164 0.0866699 , 0.707031 0.538086
0.903809 0.192993 , 0.710449 0.520508
0.895508 0.214844 , 0.700195 0.536133
0.903809 0.216553 , 0.707031 0.538086
0.895508 0.214844 , 0.700195 0.536133
0.903809 0.192993 , 0.710449 0.520508
0.895508 0.195557 , 0.703125 0.520508
0.426758 0.793457 , 0.70752 0.501953
0.449951 0.79541 , 0.703125 0.520508
0.449951 0.786621 , 0.710449 0.520508
0.449951 0.79541 , 0.703125 0.520508
0.426758 0.793457 , 0.70752 0.501953
0.431152 0.800781 , 0.700195 0.504395
0.852051 0.712402 , 0.315674 0.09375
0.839844 0.722168 , 0.300781 0.101868
0.852051 0.722656 , 0.315674 0.102112
0.839844 0.722168 , 0.300781 0.101868
0.852051 0.712402 , 0.315674 0.09375
0.843262 0.712891 , 0.302734 0.0938721
0.849609 0.738281 , 0.313965 0.15625
0.84082 0.728027 , 0.299072 0.148804
0.841309 0.738281 , 0.300537 0.156982
0.84082 0.728027 , 0.299072 0.148804
0.849609 0.738281 , 0.313965 0.15625
0.852051 0.728027 , 0.313232 0.147949
0.388672 0.628906 , 0.314697 0.110535
0.334961 0.619141 , 0.357666 0.120483
0.339111 0.628906 , 0.356445 0.112122
0.392822 0.619141 , 0.313477 0.118469
0.334961 0.619141 , 0.357666 0.120483
0.388672 0.628906 , 0.314697 0.110535
0.0654297 0.983398 , 0.973633 0.235474
0.0752563 0.961426 , 0.963379 0.218384
0.0455322 0.974609 , 0.958984 0.244263
0.0455322 0.974609 , 0.958984 0.244263
0.0752563 0.961426 , 0.963379 0.218384
0.0518188 0.95166 , 0.945313 0.229858
0.407227 0.833496 , 0.988281 0.347412
0.431152 0.829102 , 0.971191 0.338623
0.425781 0.806152 , 0.961426 0.35498
0.407227 0.833496 , 0.988281 0.347412
0.425781 0.806152 , 0.961426 0.35498
0.397705 0.812012 , 0.982422 0.366455
0.701172 0.691406 , 0.943359 0.338379
0.725586 0.668457 , 0.971191 0.338623
0.700684 0.668945 , 0.957031 0.325928
0.725586 0.668457 , 0.971191 0.338623
0.701172 0.691406 , 0.943359 0.338379
0.72998 0.691406 , 0.961426 0.35498
0.652832 0.108826 , 0.931152 0.31665
0.678223 0.0864868 , 0.957031 0.325928
0.65332 0.0864258 , 0.947754 0.309814
0.678223 0.0864868 , 0.957031 0.325928
0.652832 0.108826 , 0.931152 0.31665
0.681641 0.108887 , 0.943359 0.338379
0.763672 0.690918 , 0.939941 0.289551
0.737305 0.668457 , 0.931152 0.31665
0.735352 0.690918 , 0.947754 0.309814
0.737305 0.668457 , 0.931152 0.31665
0.763672 0.690918 , 0.939941 0.289551
0.770508 0.668457 , 0.920898 0.290039
0.623535 0.106567 , 0.940918 0.275635
0.646973 0.0864258 , 0.920898 0.290039
0.623535 0.0875244 , 0.939941 0.289551
0.646973 0.0864258 , 0.920898 0.290039
0.623535 0.106567 , 0.940918 0.275635
0.647461 0.108826 , 0.922363 0.270752
0.0818481 0.635742 , 0.930176 0.248291
0.103149 0.605957 , 0.940918 0.275635
0.0802612 0.611328 , 0.946777 0.258545
0.0818481 0.635742 , 0.930176 0.248291
0.108765 0.628906 , 0.922363 0.270752
0.103149 0.605957 , 0.940918 0.275635
0.0685425 0.90625 , 0.930176 0.248291
0.0507813 0.937012 , 0.958984 0.244263
0.0747681 0.933594 , 0.945313 0.229858
0.0507813 0.937012 , 0.958984 0.244263
0.0685425 0.90625 , 0.930176 0.248291
0.0455322 0.913086 , 0.946777 0.258545
0.778809 0.80957 , 0.973633 0.235474
0.799316 0.806641 , 0.963379 0.249634
0.782715 0.801758 , 0.976074 0.242798
0.799316 0.806641 , 0.963379 0.249634
0.778809 0.80957 , 0.973633 0.235474
0.799316 0.815918 , 0.958984 0.244263
0.223999 0.523926 , 0.988281 0.3396
0.204834 0.526367 , 0.974121 0.332275
0.229126 0.530762 , 0.988281 0.347412
0.204834 0.526367 , 0.974121 0.332275
0.2052 0.535156 , 0.971191 0.338623
0.229126 0.530762 , 0.988281 0.347412
0.46582 0.472412 , 0.957031 0.325928
0.457764 0.451172 , 0.974121 0.332275
0.457764 0.470215 , 0.962402 0.321289
0.457764 0.451172 , 0.974121 0.332275
0.46582 0.472412 , 0.957031 0.325928
0.465576 0.447754 , 0.971191 0.338623
0.572266 0.658691 , 0.947754 0.309814
0.572266 0.634277 , 0.957031 0.325928
0.564453 0.65625 , 0.954102 0.307617
0.564453 0.65625 , 0.954102 0.307617
0.572266 0.634277 , 0.957031 0.325928
0.564453 0.636719 , 0.962402 0.321289
0.82373 0.365234 , 0.939941 0.289551
0.82373 0.33667 , 0.947754 0.309814
0.816406 0.36084 , 0.947266 0.290039
